<<<<<<< HEAD
120968374229332 14000 0.01
120968384668930 14000 0.01
120968428695372 14001 0.01
120968429597425 14001 0.01
120968433568930 14002 0.01
120968434487503 14002 0.01
120968448026119 14000 0.009999000000000001
120968448570103 14000 0.009999000000000001
120968466954055 14000 0.009998000100000001
120968492337428 14001 0.009999000000000001
120968492992098 14001 0.009999000000000001
120968496946841 14002 0.009999000000000001
120968497597739 14002 0.009999000000000001
120968508202455 14000 0.00999700029999
120968512229778 14001 0.009998000100000001
120968517183504 14002 0.009998000100000001
120968518192355 14000 0.009996000599960001
120968528750332 14000 0.009995000999900005
120968553417153 14001 0.00999700029999
120968558139171 14002 0.00999700029999
120968563622372 14001 0.009996000599960001
120968568438852 14002 0.009996000599960001
120968573739301 14001 0.009995000999900005
120968578564808 14002 0.009995000999900005
120968579112947 14000 0.009994001499800014
120968579736948 14000 0.009994001499800014
120968580392180 14000 0.009994001499800014
120968580998041 14000 0.009994001499800014
120968581604133 14000 0.009994001499800014
120968582228079 14000 0.009994001499800014
120968599141702 14000 0.009993002099650034
120968614289155 14001 0.009994001499800014
120968614915544 14001 0.009994001499800014
120968615555825 14001 0.009994001499800014
120968616210709 14001 0.009994001499800014
120968616828691 14001 0.009994001499800014
120968617429119 14001 0.009994001499800014
120968624266158 14002 0.009994001499800014
120968624611869 14001 0.009993002099650034
120968624860652 14002 0.009994001499800014
120968625173228 14002 0.009994001499800014
120968625469880 14002 0.009994001499800014
120968625831757 14002 0.009994001499800014
120968626125170 14002 0.009994001499800014
120968626764981 14000 0.00999200279944007
120968628994058 14001 0.00999200279944007
120968629943742 14000 0.009991003599160126
120968633101459 14002 0.009993002099650034
120968633511232 14000 0.00999000449880021
120968635221775 14002 0.00999200279944007
120968639291490 14000 0.009988006597800496
120968643437409 14000 0.009987007797140715
120968647703748 14000 0.009986009096361001
120968648617001 14001 0.009991003599160126
120968650696290 14001 0.00999000449880021
120968652638197 14001 0.00998900549835033
120968654536280 14002 0.009991003599160126
120968655423000 14001 0.009988006597800496
120968657023326 14001 0.009987007797140715
120968657640364 14002 0.00999000449880021
120968658518541 14002 0.00998900549835033
120968659161229 14001 0.009986009096361001
120968661226820 14001 0.009985010495451365
120968661692267 14002 0.009988006597800496
120968663325478 14001 0.00998401199440182
120968664283056 14002 0.009987007797140715
120968665825963 14002 0.009986009096361001
120968668048814 14002 0.009985010495451365
120968670239070 14002 0.00998401199440182
120968676636173 14000 0.009986009096361001
120968680965177 14000 0.01008300359320237
120968681361873 14000 0.01008300359320237
120968681736550 14000 0.01008300359320237
120968682813551 14001 0.00998301359320238
120968683214989 14001 0.00998301359320238
120968683595809 14001 0.00998301359320238
120968683970381 14001 0.00998301359320238
120968684512465 14001 0.00998301359320238
120968684899150 14000 0.01008199529284305
120968685245472 14001 0.00998301359320238
120968685633876 14001 0.00998301359320238
120968686020039 14001 0.00998201529184306
120968686398340 14001 0.00998201529184306
120968686774385 14001 0.00998201529184306
120968687162615 14001 0.00998201529184306
120968687800311 14000 0.010080987093313766
120968688528614 14001 0.009980018988604844
120968688920191 14001 0.009980018988604844
120968689312219 14000 0.010079978994604435
120968689708270 14001 0.009979020986705984
120968690091720 14001 0.009979020986705984
120968690485583 14001 0.009979020986705984
120968691084125 14002 0.00998301359320238
120968691403330 14000 0.010078970996704975
120968691806252 14001 0.009978023084607313
120968692115633 14002 0.00998301359320238
120968692327241 14001 0.009977025282298853
120968692544466 14002 0.00998301359320238
120968692807070 14002 0.00998301359320238
120968693060042 14002 0.00998301359320238
120968693307053 14002 0.00998301359320238
120968693552604 14002 0.00998301359320238
120968693798786 14002 0.00998301359320238
120968694090178 14002 0.00998301359320238
120968694395122 14002 0.00998301359320238
120968694644812 14002 0.00998301359320238
120968694920747 14002 0.00998301359320238
120968697370889 14001 0.009976027579770624
120968697739083 14002 0.00998201529184306
120968698329036 14002 0.009981017090313876
120968698733593 14002 0.009980018988604844
120968699063559 14002 0.009979020986705984
120968699950715 14002 0.009978023084607313
120968701022380 14002 0.009977025282298853
120968702109931 14002 0.009976027579770624
120968711004318 14000 0.010077963099605305
120968711320435 14000 0.010077963099605305
120968711602634 14000 0.010077963099605305
120968711882621 14000 0.010077963099605305
120968712192863 14000 0.010077963099605305
120968712476280 14000 0.010077963099605305
120968712754066 14000 0.010077963099605305
120968713022722 14000 0.010077963099605305
