<<<<<<< HEAD
120915163789931 14000 0.01
120915173800727 14000 0.01
120915237475266 14000 0.009999000000000001
120915238154861 14000 0.009999000000000001
120915256765227 14000 0.009998000100000001
120915298002409 14000 0.00999700029999
120915308305112 14000 0.009996000599960001
120915318585464 14000 0.009995000999900005
120915359650920 14000 0.009994001499800014
120915360346666 14000 0.009994001499800014
120915360966256 14000 0.009994001499800014
120915361581379 14000 0.009994001499800014
120915362208852 14000 0.009994001499800014
120915362832037 14000 0.009994001499800014
120915369746371 14000 0.009993002099650034
120915371780677 14000 0.00999200279944007
120915392710723 14000 0.009991003599160126
120915394731704 14000 0.00999000449880021
120915397951140 14000 0.00998900549835033
120915400276735 14000 0.009988006597800496
120915403269278 14000 0.009987007797140715
120915405391695 14000 0.009986009096361001
120915408613177 14000 0.009985010495451365
120915410959105 14000 0.00998401199440182
120915431875329 14000 0.00998301359320238
120915432555654 14000 0.00998301359320238
120915433180078 14000 0.00998301359320238
120915433798751 14000 0.00998201529184306
120915434418350 14000 0.00998201529184306
120915435031400 14000 0.00998201529184306
120915435638096 14000 0.00998201529184306
120915436210663 14000 0.00998201529184306
120915436491629 14000 0.00998201529184306
120915436773164 14000 0.009981017090313876
120915437042984 14000 0.009981017090313876
120915437307931 14000 0.009981017090313876
120915437570061 14000 0.009981017090313876
120915437833676 14000 0.009981017090313876
120915439035387 14000 0.009980018988604844
120915440117685 14000 0.009979020986705984
120915441212725 14000 0.009978023084607313
120915442277415 14000 0.009977025282298853
120915443418326 14000 0.009976027579770624
120915465933683 14000 0.009975029977012648
120915467050899 14000 0.009974032474014946
120915467945495 14000 0.009973035070767544
120915469209621 14000 0.009972037767260468
120915470332790 14000 0.009971040563483743
120915471784667 14000 0.009970043459427395
120915472467224 14000 0.009969046455081452
120915473704524 14000 0.009968049550435945
120915474679788 14000 0.009967052745480902
120915475670880 14000 0.009966056040206353
120915476784990 14000 0.009965059434602333
120915478143369 14000 0.009964062928658873
120915479126384 14000 0.009963066522366008
120915480240248 14000 0.009962070215713771
120915481247564 14000 0.0099610740086922
120915482310984 14000 0.009960077901291331
120915483404827 14000 0.009959081893501202
120915484724840 14000 0.009958085985311851
120915485698077 14000 0.009957090176713321
120915509915449 14000 0.00995609446769565
120915510536428 14000 0.00995609446769565
120915511082128 14000 0.00995609446769565
120915511434578 14000 0.00995509885824888
120915511883229 14000 0.009954103348363056
120915512452027 14000 0.009954103348363056
120915512831982 14000 0.009954103348363056
120915513333305 14000 0.009954103348363056
120915513778924 14000 0.009954103348363056
120915514284676 14000 0.009954103348363056
120915514854069 14000 0.009954103348363056
120915515406850 14000 0.009954103348363056
120915515953113 14000 0.009954103348363056
120915516389445 14000 0.00995310793802822
120915516947039 14000 0.00995310793802822
120915517346669 14000 0.009952112627234418
120915517720342 14000 0.009952112627234418
120915518099249 14000 0.009951117415971695
120915518482527 14000 0.009950122304230098
120915518863410 14000 0.009948132379270475
120915519308112 14000 0.009948132379270475
120915519761225 14000 0.009948132379270475
120915520154583 14000 0.009948132379270475
120915520488574 14000 0.009948132379270475
120915520778970 14000 0.009948132379270475
120915521062300 14000 0.009948132379270475
120915521354162 14000 0.009948132379270475
120915521638730 14000 0.009948132379270475
120915521923110 14000 0.009948132379270475
120915522208453 14000 0.009948132379270475
120915522495094 14000 0.009948132379270475
120915522781754 14000 0.009948132379270475
120915523066563 14000 0.009948132379270475
120915523351095 14000 0.009948132379270475
120915523778756 14000 0.009947137566032547
120915526413993 14000 0.009946142852275944
120915526902649 14000 0.009945148237990717
120915529583566 14000 0.009944153723166918
120915531340315 14000 0.0099431593077946
120915531839731 14000 0.009942164991863822
120915532578851 14000 0.0099401766582871
120915534691477 14000 0.009939182640621273
120915535326759 14000 0.009937194903484976
120915536032807 14000 0.009936201183994627
120915536648873 14000 0.009934214043119841
120915537486484 14000 0.00993322062171553
120915538280254 14000 0.009931234076923392
120915538994489 14000 0.009929247929420348
120915539610176 14000 0.009928255004627407
120915540178110 14000 0.009927262179126943
120915540872022 14000 0.00992527682596374
120915546050874 14000 0.009924284298281145
120915546428564 14000 0.009923291869851317
120915546874234 14000 0.009922299540664332
120915547342470 14000 0.009921307310710266
120915547709983 14000 0.009920315179979195
120915548332306 14000 0.009919323148461197
120915557061121 14000 0.009918331216146352
120915557821419 14000 0.009918331216146352
120915558104144 14000 0.009918331216146352
120915559323087 14000 0.010113323046272051
120915559873281 14000 0.010112311713967424
120915560208856 14000 0.010112311713967424
120915560932520 14000 0.010209268323812462
120915561545458 14000 0.010208247396980081
120915561950067 14000 0.010207226572240383
120915562719533 14000 0.01020620584958316
120915563203651 14000 0.010204164710475304
120915563525782 14000 0.010203144294004256
120915564133736 14000 0.010202123979574856
120915564788084 14000 0.010201103767176898
120915565438652 14000 0.01020008365680018
120915565817864 14000 0.010198043742069656
120915566697423 14000 0.010197023937695449
120915566976317 14000 0.010196004235301679
120915567887862 14000 0.010194984634878149
120915568298632 14000 0.010193965136414662
120915578074977 14000 0.01019294573990102
120915578456531 14000 0.010191926445327031
120915578698946 14000 0.010191926445327031
120915578932654 14000 0.010191926445327031
120915579183764 14000 0.010289888161957219
120915579410260 14000 0.010288859173141023
120915579631595 14000 0.01028783028722371
120915579864739 14000 0.01028783028722371
120915580316810 14000 0.010286801504194988
120915580550892 14000 0.010285772824044569
120915580779274 14000 0.010285772824044569
120915581008898 14000 0.010284744246762165
120915581243977 14000 0.010283715772337488
120915581477344 14000 0.010283715772337488
120915581708031 14000 0.010282687400760254
120915582372902 14000 0.010282687400760254
120915582684304 14000 0.010282687400760254
120915582930809 14000 0.010282687400760254
120915583174796 14000 0.010281659132020178
120915583418140 14000 0.010281659132020178
120915583662874 14000 0.010281659132020178
120915583971566 14000 0.010281659132020178
120915586080185 14000 0.010280630966106976
120915586592298 14000 0.010279602903010365
120915587275288 14000 0.010277547085225791
120915588039242 14000 0.01027651933051727
120915588443183 14000 0.010275491678584218
120915588685907 14000 0.010275491678584218
120915588925669 14000 0.010275491678584218
120915589163840 14000 0.010275491678584218
120915589803078 14000 0.01027446412941636
120915590043946 14000 0.01027446412941636
120915590280654 14000 0.01027446412941636
120915590525768 14000 0.01027446412941636
120915590765590 14000 0.010273436683003418
120915591009109 14000 0.010273436683003418
120915591248288 14000 0.010272409339335117
120915591662373 14000 0.010271382098401184
120915597130046 14000 0.010270354960191344
120915598478314 14000 0.010269327924695325
120915599624788 14000 0.010268300991902856
120915600267157 14000 0.010267274161803666
120915601006863 14000 0.010266247434387485
120915601294318 14000 0.010265220809644046
120915601596821 14000 0.010264194287563082
120915602327631 14000 0.010263167868134325
120915603808359 14000 0.010261115337192378
120915604891403 14000 0.010260089225658658
120915605206111 14000 0.01025803731041442
120915605854924 14000 0.010257011506683377
120915606070926 14000 0.010255985805532709
120915606274006 14000 0.010254960206952156
120915606475717 14000 0.01025393471093146
120915606667172 14000 0.010252909317460368
120915606865135 14000 0.010251884026528622
120915607062194 14000 0.010249833752242157
120915607257301 14000 0.010248808768866934
120915607457266 14000 0.010248808768866934
120915607711469 14000 0.010248808768866934
120915607902717 14000 0.010248808768866934
120915608099808 14000 0.010248808768866934
120915608289419 14000 0.010248808768866934
120915608478451 14000 0.010248808768866934
120915608665804 14000 0.010248808768866934
120915608854339 14000 0.010248808768866934
120915609043130 14000 0.010248808768866934
120915609231944 14000 0.010248808768866934
120915609419908 14000 0.010248808768866934
120915609608655 14000 0.010248808768866934
120915609800302 14000 0.010248808768866934
120915610007598 14000 0.010248808768866934
120915610213527 14000 0.010248808768866934
120915610418720 14000 0.010248808768866934
120915610624542 14000 0.010248808768866934
120915610829999 14000 0.010248808768866934
120915611036279 14000 0.010248808768866934
120915611248146 14000 0.010248808768866934
120915611453622 14000 0.010248808768866934
120915611658938 14000 0.010248808768866934
120915611863889 14000 0.010248808768866934
120915612137706 14000 0.010248808768866934
120915612345570 14000 0.010247783887990048
120915612602092 14000 0.01024675910960125
120915612824424 14000 0.01024675910960125
120915613465897 14000 0.01024675910960125
120915613711144 14000 0.01024675910960125
120915613914669 14000 0.01024675910960125
120915614113286 14000 0.01024675910960125
120915614347228 14000 0.01024675910960125
120915614605829 14000 0.01024573443369029
120915614860520 14000 0.01024573443369029
120915615081562 14000 0.01024573443369029
120915615319910 14000 0.01024573443369029
120915617860215 14000 0.01024573443369029
120915618250325 14000 0.01024573443369029
120915618582089 14000 0.01024573443369029
120915619401378 14000 0.01024573443369029
120915620961157 14000 0.01024573443369029
120915621357419 14000 0.01024573443369029
120915621793038 14000 0.01024573443369029
120915622644607 14000 0.01024573443369029
120915622963051 14000 0.01024573443369029
120915623160021 14000 0.01024573443369029
120915623353443 14000 0.01024573443369029
120915623546672 14000 0.01024573443369029
120915623739349 14000 0.01024573443369029
120915623939423 14000 0.01024573443369029
120915624141884 14000 0.01024573443369029
120915624336692 14000 0.01024573443369029
120915624540980 14000 0.01024573443369029
120915624736924 14000 0.01024573443369029
120915624930952 14000 0.01024573443369029
120915625983337 14000 0.010243685389260895
120915626196205 14000 0.01024266102072197
120915626392022 14000 0.01024266102072197
120915626836058 14000 0.01024266102072197
120915627032623 14000 0.01024266102072197
120915627225771 14000 0.01024266102072197
120915627442939 14000 0.01024266102072197
120915627637821 14000 0.01024266102072197
120915628247837 14000 0.01024266102072197
120915628683380 14000 0.01024266102072197
120915628879098 14000 0.01024266102072197
120915629077499 14000 0.01024266102072197
120915640336516 14000 0.010241636754619898
120915640778615 14000 0.010240612590944435
120915641248699 14000 0.010239588529685342
120915641664063 14000 0.010238564570832373
120915642086473 14000 0.01023754071437529
120915642549036 14000 0.010236516960303851
120915642909487 14000 0.010235493308607822
120915643276922 14000 0.01023446975927696
120915644226972 14000 0.010233446312301032
120915644492644 14000 0.010232422967669802
120915645232354 14000 0.010231399725373035
120915645456392 14000 0.010230376585400498
120915645972748 14000 0.010229353547741958
120915646346274 14000 0.010228330612387183
120915646703172 14000 0.010227307779325946
120915647134469 14000 0.010226285048548013
120915647376030 14000 0.010225262420043159
120915647963035 14000 0.010224239893801154
120915648644169 14000 0.010223217469811774
120915650065364 14000 0.010222195148064793
120915650269831 14000 0.010221172928549986
120915650494672 14000 0.010220150811257132
120915650681148 14000 0.010219128796176006
120915650865457 14000 0.010218106883296389
120915651052017 14000 0.01021708507260806
120915651237589 14000 0.010216063364100799
120915651425998 14000 0.010215041757764389
120915651610630 14000 0.010214020253588613
120915651793380 14000 0.010212998851563253
120915653012864 14000 0.010206872583997896
120915653248705 14000 0.010205851896739495
120915655021732 14000 0.010204831311549822
120915655344198 14000 0.010203810828418668
120915655623583 14000 0.010202790447335826
120915655905231 14000 0.010201770168291093
120915656223219 14000 0.010199729916275137
120915656929559 14000 0.010198709943283509
120915657636722 14000 0.010196670303281951
120915658006467 14000 0.010195650636251623
120915658320999 14000 0.010193611608080879
120915658790977 14000 0.010192592246920072
120915660127753 14000 0.01019157298769538
120915660474974 14000 0.01019055383039661
120915660788535 14000 0.01018953477501357
120915663014212 14000 0.010188515821536069
120915663756209 14000 0.010187496969953915
120915664122399 14000 0.01018647822025692
120915664478706 14000 0.010185459572434894
120915665077957 14000 0.01018444102647765
120915665393567 14000 0.010183422582375003
120915665872002 14000 0.010181385999692755
120915666134576 14000 0.010179349824306677
120915666462050 14000 0.010177314056135315
120915666864486 14000 0.010176296324729701
120915667221120 14000 0.010175278695097227
120915667870073 14000 0.010173243741110996
