<<<<<<< HEAD
120799769389043 14000 0.01
120799775566743 14000 0.01
120799839701456 14000 0.009999000000000001
120799840365019 14000 0.009999000000000001
120799859116460 14000 0.009998000100000001
120799900062734 14000 0.00999700029999
120799910297714 14000 0.009996000599960001
120799920544205 14000 0.009995000999900005
120799961714719 14000 0.009994001499800014
120799962387792 14000 0.009994001499800014
120799963008019 14000 0.009994001499800014
120799963623057 14000 0.009994001499800014
120799964281737 14000 0.009994001499800014
120799964902899 14000 0.009994001499800014
120799981946445 14000 0.009993002099650034
120800007585630 14000 0.00999200279944007
120800010861946 14000 0.009991003599160126
120800013947406 14000 0.00999000449880021
120800017335942 14000 0.00998900549835033
120800020441607 14000 0.009988006597800496
120800023574700 14000 0.009987007797140715
120800026798498 14000 0.009986009096361001
120800052551938 14000 0.009986009096361001
120800055741792 14000 0.01008300359320237
120800056412960 14000 0.01008300359320237
120800058930250 14000 0.01008199529284305
120800061075561 14000 0.010080987093313766
120800064504811 14000 0.010079978994604435
120800066579843 14000 0.010078970996704975
120800069876864 14000 0.010077963099605305
120800090494780 14000 0.010076955303295346
120800091137393 14000 0.010076955303295346
120800091770827 14000 0.010076955303295346
120800092335248 14000 0.010076955303295346
120800092743276 14000 0.010075947607765017
120800093144964 14000 0.010075947607765017
120800093545345 14000 0.010075947607765017
120800093945194 14000 0.010075947607765017
120800094343465 14000 0.010075947607765017
120800094741439 14000 0.010075947607765017
120800095144060 14000 0.010075947607765017
120800095552035 14000 0.010074940013004241
120800095959364 14000 0.010074940013004241
120800096557612 14000 0.01007393251900294
120800097512702 14000 0.01007292512575104
120800098940229 14000 0.010071917833238464
120800099900736 14000 0.01007091064145514
120800100825929 14000 0.010069903550390995
120800123522944 14000 0.010068896560035956
120800124743992 14000 0.010067889670379953
120800125467666 14000 0.010066882881412916
120800126867788 14000 0.010065876193124774
120800127495649 14000 0.010064869605505462
120800128659247 14000 0.010063863118544913
120800129740937 14000 0.01006285673223306
120800130819356 14000 0.010061850446559837
120800131919543 14000 0.01006084426151518
120800133040904 14000 0.010059838177089029
120800134232864 14000 0.010058832193271321
120800135515711 14000 0.010057826310051993
120800135873057 14000 0.010057826310051993
120800136233732 14000 0.010057826310051993
120800136582455 14000 0.010057826310051993
120800136931328 14000 0.010056820527420988
120800137280587 14000 0.010056820527420988
120800137638909 14000 0.010055814845368246
120800137991213 14000 0.010055814845368246
120800138338012 14000 0.010055814845368246
120800138688004 14000 0.01005480926388371
120800139035933 14000 0.01005480926388371
120800139382508 14000 0.01005480926388371
120800139729382 14000 0.01005480926388371
120800140093081 14000 0.010052798402579026
120800140439933 14000 0.010052798402579026
120800140978789 14000 0.010052798402579026
120800141321661 14000 0.010052798402579026
120800141665301 14000 0.010052798402579026
120800142814846 14000 0.010052798402579026
120800143892847 14000 0.010052798402579026
120800144268382 14000 0.010051793122738769
120800144607798 14000 0.010051793122738769
120800144943939 14000 0.010051793122738769
120800145283659 14000 0.010051793122738769
120800145632210 14000 0.010051793122738769
120800145973255 14000 0.010051793122738769
120800146315828 14000 0.010051793122738769
120800147174789 14000 0.010051793122738769
120800147569470 14000 0.010051793122738769
120800147958764 14000 0.010051793122738769
120800148362749 14000 0.010050787943426495
120800148754416 14000 0.01004877788634569
120800149182678 14000 0.010047773008557056
120800151369218 14000 0.010047773008557056
120800151769568 14000 0.010047773008557056
120800152166661 14000 0.010047773008557056
120800152465460 14000 0.0100467682312562
120800152816783 14000 0.010045763554433073
120800153577592 14000 0.01004475897807763
120800155074291 14000 0.010043754502179822
120800156145129 14000 0.010042750126729604
120800156409525 14000 0.01004174585171693
120800159662746 14000 0.01004074167713176
120800160010829 14000 0.010039737602964047
120800160593530 14000 0.010038733629203751
120800160857095 14000 0.010037729755840831
120800161110496 14000 0.010036725982865247
120800161361590 14000 0.01003572231026696
120800161612743 14000 0.010034718738035934
120800161861783 14000 0.010033715266162131
120800162111829 14000 0.010032711894635515
120800162362267 14000 0.010031708623446052
120800163054072 14000 0.010030705452583707
120800163321072 14000 0.01002970238203845
120800163740348 14000 0.010028699411800245
120800164519727 14000 0.010027696541859065
120800165515642 14000 0.01002669377220488
120800167681899 14000 0.01002569110282766
120800167966180 14000 0.010024688533717376
120800168708638 14000 0.010021681427887895
120800169176161 14000 0.010018675224099952
120800170187200 14000 0.010017673356577541
120800170565110 14000 0.010016671589241884
120800171081478 14000 0.01001566992208296
120800171681244 14000 0.010013666888255243
120800175170863 14000 0.010012665521566417
120800175476789 14000 0.010011664255014261
120800176424951 14000 0.01001066308858876
120800177907859 14000 0.010009662022279903
120800180030735 14000 0.010007660189972066
120800180868069 14000 0.010006659423953068
120800189652187 14000 0.010005658758010672
120800190429198 14000 0.010003657726315658
120800191269279 14000 0.010000656929097492
120800192213029 14000 0.00999765703202847
120800192534720 14000 0.00999765703202847
120800192833805 14000 0.00999765703202847
120800193127486 14000 0.00999765703202847
120800193419890 14000 0.00999765703202847
120800193715232 14000 0.00999765703202847
120800194010563 14000 0.00999765703202847
120800194309232 14000 0.00999765703202847
120800194602152 14000 0.00999765703202847
120800194897406 14000 0.00999765703202847
120800195189646 14000 0.00999765703202847
120800195483860 14000 0.00999765703202847
120800195776876 14000 0.00999765703202847
120800196091081 14000 0.00999765703202847
120800196382604 14000 0.00999765703202847
120800196670135 14000 0.00999765703202847
120800196956609 14000 0.00999765703202847
120800197242706 14000 0.00999765703202847
120800197531036 14000 0.00999765703202847
120800197818719 14000 0.00999765703202847
120800198105876 14000 0.00999765703202847
120800198397797 14000 0.00999765703202847
120800198684133 14000 0.00999765703202847
120800198960650 14000 0.00999765703202847
120800199235974 14000 0.00999765703202847
120800199520822 14000 0.00999765703202847
120800199806607 14000 0.00999765703202847
120800200109362 14000 0.00999765703202847
120800200355657 14000 0.00999765703202847
120800200598575 14000 0.00999765703202847
120800200834018 14000 0.00999765703202847
120800201068848 14000 0.00999765703202847
120800201301634 14000 0.00999765703202847
120800201535580 14000 0.00999765703202847
120800201777920 14000 0.00999765703202847
120800202021346 14000 0.00999765703202847
120800202263096 14000 0.00999765703202847
120800202504804 14000 0.00999765703202847
120800202744575 14000 0.00999765703202847
120800202990730 14000 0.00999765703202847
120800203231754 14000 0.00999765703202847
120800203465881 14000 0.00999765703202847
120800203699540 14000 0.00999765703202847
120800203932124 14000 0.00999765703202847
120800204179854 14000 0.00999765703202847
120800204932515 14000 0.010094658034838565
120800206068246 14000 0.010093648569035081
120800206592071 14000 0.01009162994025776
120800215064645 14000 0.010089611715186008
120800216021147 14000 0.01008860275401449
120800216763216 14000 0.010087593893739089
120800217535722 14000 0.010185576475836268
120800218267698 14000 0.010184557918188685
120800218886769 14000 0.010183539462396866
120800219463045 14000 0.010181502856339782
120800221042088 14000 0.010179466657583545
120800221333800 14000 0.010178448710917786
120800221952141 14000 0.010177430866046694
120800222317191 14000 0.010176413122960089
120800222689176 14000 0.010175395481647793
120800222932756 14000 0.010175395481647793
120800223336506 14000 0.010273360504305409
120800223822424 14000 0.010272333168254977
120800224340667 14000 0.010271305934938153
120800224894461 14000 0.010269251776464225
120800225249373 14000 0.010268224851286579
120800225716820 14000 0.01026719802880145
120800226514585 14000 0.010265144691867671
120800226863198 14000 0.010264118177398484
120800227629392 14000 0.010263091765580745
120800227927687 14000 0.010262065456404186
120800228325545 14000 0.010261039249858545
120800229192245 14000 0.010260013145933559
120800229476314 14000 0.010258987144618965
120800231226608 14000 0.010257961245904503
120800231863592 14000 0.010255909756234935
120800232335602 14000 0.010254884165259312
120800232667797 14000 0.010254884165259312
120800233155082 14000 0.010351798007645992
120800233514414 14000 0.010350762827845228
120800235187609 14000 0.010349727751562444
120800236249995 14000 0.010347657909509408
120800240871737 14000 0.010346623143718458
120800241378044 14000 0.010344553922555946
120800241931043 14000 0.01034351946716369
120800242292410 14000 0.010342485115216973
120800242695541 14000 0.010341450866705452
120800243097729 14000 0.010340416721618782
120800244127077 14000 0.010338348741678627
120800245074835 14000 0.01033628117531378
120800245487233 14000 0.010335247547196249
120800246174989 14000 0.010334214022441529
120800246897308 14000 0.010332147282979182
120800248725258 14000 0.010331114068250883
120800264593487 14000 0.010330080956844057
120800264800196 14000 0.010330080956844057
120800265297562 14000 0.01052697224244903
120800265564341 14000 0.010624866953270253
120800266164835 14000 0.010722742086128256
120800266631588 14000 0.010721669811919644
120800272053920 14000 0.010720597644938452
120800272264270 14000 0.010720597644938452
120800272620595 14000 0.010818453632615431
120800272898008 14000 0.010817371787252169
120800273278386 14000 0.010816290050073445
120800273490083 14000 0.010815208421068437
120800276882307 14000 0.010913045487536296
120800277240585 14000 0.010910862987569244
120800277799933 14000 0.010908680924080361
120800278148004 14000 0.010907590055987954
120800278478188 14000 0.010905408647052658
120800278762387 14000 0.010903227674377333
120800279011146 14000 0.010901047137874735
120800279370221 14000 0.010898867037457632
120800280260821 14000 0.010897777150753886
120800280760351 14000 0.01089668737303881
120800281060961 14000 0.010895597704301506
120800281916026 14000 0.010894508144531075
120800282496551 14000 0.010893418693716623
120800282870074 14000 0.01089232935184725
120800283202571 14000 0.010891240118912066
120800283413943 14000 0.010889061979800685
120800283719758 14000 0.010886884276295345
120800283998164 14000 0.01088470700830893
120800284794788 14000 0.0108836185376081
120800285366349 14000 0.01088253017575434
120800285604741 14000 0.010881441922736764
120800285823136 14000 0.010881441922736764
120800286030488 14000 0.010881441922736764
120800286237402 14000 0.010881441922736764
120800286443229 14000 0.010881441922736764
120800286648427 14000 0.010881441922736764
120800286853623 14000 0.010881441922736764
120800287058885 14000 0.010881441922736764
120800287263242 14000 0.010881441922736764
120800287469990 14000 0.010881441922736764
120800287714668 14000 0.010881441922736764
120800287919190 14000 0.010881441922736764
120800288141585 14000 0.010881441922736764
120800288346030 14000 0.010881441922736764
120800288556849 14000 0.01088035377854449
120800288911947 14000 0.01088035377854449
120800289134093 14000 0.01088035377854449
120800289347133 14000 0.01088035377854449
120800289558032 14000 0.01088035377854449
120800289803702 14000 0.010879265743166635
120800290030084 14000 0.010878177816592319
120800290337988 14000 0.010878177816592319
120800293036448 14000 0.01087708999881066
120800295510285 14000 0.010874914689581797
120800296082547 14000 0.01087382719811284
120800296376749 14000 0.010872739815393028
120800296774412 14000 0.010870565376157349
120800297425741 14000 0.010867304532650593
120800297989227 14000 0.010865131180417108
120800298272759 14000 0.010862958262832336
120800298831215 14000 0.010861871967006054
120800299103515 14000 0.010860785779809354
120800299318684 14000 0.010860785779809354
120800299803829 14000 0.01085861373126125
120800300887517 14000 0.010857527869888126
120800301498450 14000 0.010856442117101137
120800302107622 14000 0.010854270937242139
120800302323625 14000 0.010853185510148414
120800302525124 14000 0.010853185510148414
120800302726549 14000 0.0108521001915974
120800302927641 14000 0.0108521001915974
120800303128337 14000 0.0108521001915974
120800303323944 14000 0.01085101498157824
120800303521886 14000 0.01085101498157824
120800303726325 14000 0.010849929880080081
120800303929529 14000 0.010849929880080081
120800304135976 14000 0.010848844887092073
120800304334848 14000 0.010847760002603363
120800304530842 14000 0.010847760002603363
120800304739929 14000 0.010847760002603363
120800304938486 14000 0.010846675226603103
120800305139772 14000 0.010845590559080442
120800305346431 14000 0.010845590559080442
120800305623927 14000 0.010844506000024534
120800305875022 14000 0.010844506000024534
120800306126275 14000 0.010844506000024534
120800306320128 14000 0.010843421549424533
120800306633820 14000 0.010843421549424533
120800306872969 14000 0.010843421549424533
120800307066515 14000 0.010843421549424533
120800307254628 14000 0.010843421549424533
120800307582247 14000 0.010843421549424533
120800307827393 14000 0.010842337207269591
120800308103215 14000 0.010842337207269591
120800308389657 14000 0.010842337207269591
120800308634738 14000 0.010842337207269591
120800308877064 14000 0.010842337207269591
120800309121529 14000 0.010842337207269591
120800309377823 14000 0.010842337207269591
120800309571681 14000 0.010842337207269591
120800309763382 14000 0.010842337207269591
120800309954476 14000 0.010842337207269591
120800310147937 14000 0.010842337207269591
120800310341118 14000 0.010842337207269591
120800310526767 14000 0.010842337207269591
120800310716381 14000 0.010842337207269591
120800310972215 14000 0.010842337207269591
120800311169532 14000 0.010842337207269591
120800311389433 14000 0.010842337207269591
120800311580241 14000 0.010842337207269591
120800311769757 14000 0.010842337207269591
120800311961006 14000 0.010842337207269591
120800312158073 14000 0.010842337207269591
120800312348629 14000 0.010842337207269591
120800312536803 14000 0.010842337207269591
120800312727803 14000 0.010842337207269591
120800312917948 14000 0.010842337207269591
120800313108802 14000 0.010842337207269591
120800313299713 14000 0.010842337207269591
120800313493287 14000 0.010842337207269591
120800313683541 14000 0.010842337207269591
120800313882442 14000 0.010842337207269591
