<<<<<<< HEAD
120821371970978 14000 0.01
120821381714830 14000 0.01
120821445945247 14000 0.009999000000000001
120821446792563 14000 0.009999000000000001
120821465145695 14000 0.009998000100000001
120821506273877 14000 0.00999700029999
120821516565966 14000 0.009996000599960001
120821526817368 14000 0.009995000999900005
120821567983747 14000 0.009994001499800014
120821568781973 14000 0.009994001499800014
120821569554359 14000 0.009994001499800014
120821570320327 14000 0.009994001499800014
120821571088736 14000 0.009994001499800014
120821571858467 14000 0.009994001499800014
120821578180782 14000 0.009993002099650034
120821580262495 14000 0.00999200279944007
120821604215374 14000 0.009991003599160126
120821606190142 14000 0.00999000449880021
120821609219989 14000 0.00998900549835033
120821611361100 14000 0.009988006597800496
120821614624543 14000 0.009987007797140715
120821616735332 14000 0.009986009096361001
120821620030010 14000 0.009985010495451365
120821622120047 14000 0.00998401199440182
120821643119877 14000 0.00998301359320238
120821643766534 14000 0.00998301359320238
120821644551654 14000 0.00998301359320238
120821645326082 14000 0.00998201529184306
120821646079306 14000 0.00998201529184306
120821646827040 14000 0.00998201529184306
120821647575003 14000 0.00998201529184306
120821648334994 14000 0.009981017090313876
120821649104301 14000 0.009981017090313876
120821649866080 14000 0.009981017090313876
120821650712514 14000 0.009981017090313876
120821651479576 14000 0.009980018988604844
120821652252667 14000 0.009979020986705984
120821653004076 14000 0.009978023084607313
120821653776627 14000 0.009978023084607313
120821654565564 14000 0.009977025282298853
120821655390170 14000 0.009976027579770624
120821656159699 14000 0.009976027579770624
120821656496579 14000 0.009976027579770624
120821673702142 14000 0.009975029977012648
120821677136108 14000 0.009974032474014946
120821679717749 14000 0.009973035070767544
120821680709522 14000 0.009972037767260468
120821681271676 14000 0.009971040563483743
120821682319171 14000 0.009970043459427395
120821683468441 14000 0.009969046455081452
120821684623899 14000 0.009968049550435945
120821685729229 14000 0.009967052745480902
120821686837851 14000 0.009966056040206353
120821688122850 14000 0.009965059434602333
120821689164214 14000 0.009964062928658873
120821690239078 14000 0.009963066522366008
120821691428109 14000 0.009962070215713771
120821692644993 14000 0.0099610740086922
120821694839602 14000 0.009960077901291331
120821696225569 14000 0.009959081893501202
120821698215826 14000 0.009958085985311851
120821714881801 14000 0.009957090176713321
120821715610484 14000 0.009957090176713321
120821716242411 14000 0.009957090176713321
120821716671568 14000 0.009957090176713321
120821717085574 14000 0.009957090176713321
120821717496102 14000 0.009957090176713321
120821717905464 14000 0.009957090176713321
120821718315968 14000 0.009957090176713321
120821718790937 14000 0.009957090176713321
120821720076541 14000 0.00995609446769565
120821720482506 14000 0.00995609446769565
120821720881314 14000 0.00995609446769565
120821721277525 14000 0.00995609446769565
120821721675655 14000 0.00995609446769565
120821722074311 14000 0.00995609446769565
120821722473575 14000 0.00995609446769565
120821722872127 14000 0.00995609446769565
120821723280254 14000 0.00995609446769565
120821723676453 14000 0.00995609446769565
120821724081521 14000 0.00995609446769565
120821724477110 14000 0.00995609446769565
120821728128923 14000 0.00995509885824888
120821728970977 14000 0.00995509885824888
120821731793940 14000 0.01005310793802821
120821733124452 14000 0.010052102627234407
120821734104148 14000 0.010051097416971683
120821739281241 14000 0.010050092307229986
120821740067496 14000 0.010049087297999264
120821740696907 14000 0.010048082389269464
120821741743311 14000 0.010047077581030538
120821743573870 14000 0.010043059352782593
120821743994220 14000 0.01004105084134263
120821744321254 14000 0.010040046736258496
120821744663805 14000 0.01003904273158487
120821745194284 14000 0.010038038827311713
120821750135014 14000 0.010037035023428982
120821750739429 14000 0.010035027716794648
120821751401503 14000 0.010033020811601566
120821751755259 14000 0.010032017509520406
120821755115419 14000 0.010030011206338677
120821756020475 14000 0.010029008205218043
120821756618503 14000 0.01002800530439752
120821757312553 14000 0.01002700250386708
120821758356317 14000 0.01002499720363633
120821758706934 14000 0.010023994703915967
120821761797522 14000 0.010022992304445576
120821762376272 14000 0.010021990005215132
120821763385526 14000 0.010020987806214611
120821764024269 14000 0.01001998570743399
120821773386107 14000 0.010018983708863246
120821776273746 14000 0.01001798181049236
120821776712960 14000 0.01001698001231131
120821777248923 14000 0.01001597831431008
120821777483993 14000 0.010014976716478649
120821777703763 14000 0.010013975218807002
120821777923595 14000 0.010013975218807002
120821778149957 14000 0.010013975218807002
120821778371778 14000 0.010012973821285121
120821778594668 14000 0.010011972523902993
120821778822426 14000 0.010011972523902993
120821779040525 14000 0.010009970229517938
120821779256719 14000 0.010008969232494986
120821779473566 14000 0.010008969232494986
120821779688749 14000 0.010008969232494986
120821779906379 14000 0.010007968335571736
120821780452832 14000 0.01000696753873818
120821780674782 14000 0.01000696753873818
120821780889567 14000 0.01000696753873818
