<<<<<<< HEAD
120858614141941 14000 0.01
120858622288355 14000 0.01
120858666015706 14001 0.01
120858666945502 14001 0.01
120858685822306 14000 0.009999000000000001
120858686501290 14000 0.009999000000000001
120858705119398 14000 0.009998000100000001
120858729591560 14001 0.009999000000000001
120858729995458 14001 0.009999000000000001
120858746002424 14000 0.00999700029999
120858749623830 14001 0.009998000100000001
120858756112058 14000 0.009996000599960001
120858766389202 14000 0.009995000999900005
120858790386747 14001 0.00999700029999
120858800579947 14001 0.009996000599960001
120858807342744 14000 0.009994001499800014
120858808034116 14000 0.009994001499800014
120858808663580 14000 0.009994001499800014
120858809297632 14000 0.009994001499800014
120858809932659 14000 0.009994001499800014
120858810652068 14001 0.009995000999900005
120858811352049 14000 0.009994001499800014
120858817541847 14000 0.009993002099650034
120858819910616 14000 0.00999200279944007
120858840389298 14000 0.009991003599160126
120858842489151 14000 0.00999000449880021
120858844937999 14000 0.00998900549835033
120858846975014 14000 0.009988006597800496
120858850276736 14000 0.009987007797140715
120858851370999 14001 0.009994001499800014
120858852101349 14001 0.009994001499800014
120858852621435 14000 0.009986009096361001
120858853152510 14001 0.009994001499800014
120858853827541 14001 0.009994001499800014
120858854442837 14001 0.009994001499800014
120858855061326 14001 0.009994001499800014
120858855625125 14000 0.009985010495451365
120858857476486 14000 0.00998401199440182
120858861160375 14001 0.009993002099650034
120858863383940 14001 0.00999200279944007
120858878166398 14000 0.00998301359320238
120858878827963 14000 0.00998301359320238
120858879455605 14000 0.00998301359320238
120858880243795 14000 0.00998301359320238
120858880658236 14000 0.00998201529184306
120858881074685 14000 0.00998201529184306
120858881476092 14000 0.00998201529184306
120858881874599 14000 0.00998201529184306
120858882274462 14000 0.00998201529184306
120858882678677 14000 0.00998201529184306
120858883167348 14001 0.009991003599160126
120858883584582 14000 0.00998201529184306
120858884031589 14000 0.009981017090313876
120858884438248 14000 0.009981017090313876
120858884846345 14000 0.009981017090313876
120858885417291 14000 0.009980018988604844
120858885774100 14001 0.00999000449880021
120858886158446 14000 0.009979020986705984
120858887087448 14000 0.009978023084607313
120858890177342 14000 0.009977025282298853
120858890601980 14001 0.00998900549835033
120858890903012 14000 0.009976027579770624
120858892127819 14001 0.009988006597800496
120858893176653 14001 0.009987007797140715
120858896159645 14001 0.009986009096361001
