<<<<<<< HEAD
120933910172665 14000 0.01
120933920135268 14000 0.01
120933984052528 14000 0.009999000000000001
120933984879329 14000 0.009999000000000001
120934003353745 14000 0.009998000100000001
120934044311302 14000 0.00999700029999
120934054624342 14000 0.009996000599960001
120934064835232 14000 0.009995000999900005
120934105822557 14000 0.009994001499800014
120934106156360 14000 0.009994001499800014
120934106496928 14000 0.009994001499800014
120934106830885 14000 0.009994001499800014
120934107162036 14000 0.009994001499800014
120934107496137 14000 0.009994001499800014
120934115812404 14000 0.009993002099650034
120934117319192 14000 0.00999200279944007
120934139470703 14000 0.009991003599160126
120934142611952 14000 0.00999000449880021
120934145086255 14000 0.00998900549835033
120934148109577 14000 0.009988006597800496
120934150428486 14000 0.009987007797140715
120934153489017 14000 0.009986009096361001
120934155809826 14000 0.009985010495451365
120934158829575 14000 0.00998401199440182
120934178899593 14000 0.00998301359320238
120934179556795 14000 0.00998301359320238
120934180400713 14000 0.00998301359320238
120934181143213 14000 0.00998201529184306
120934181897293 14000 0.00998201529184306
120934182634687 14000 0.00998201529184306
120934183391482 14000 0.00998201529184306
120934184182959 14000 0.00998201529184306
120934184940447 14000 0.00998201529184306
120934185709266 14000 0.00998201529184306
120934186469024 14000 0.00998201529184306
120934187206471 14000 0.00998201529184306
120934187959404 14000 0.00998201529184306
120934188746606 14000 0.009980018988604844
120934189499456 14000 0.009979020986705984
120934190257709 14000 0.009979020986705984
120934190998351 14000 0.009977025282298853
120934191751843 14000 0.009976027579770624
120934192337620 14000 0.009976027579770624
120934210920859 14000 0.009975029977012648
120934214332333 14000 0.009974032474014946
120934215641717 14000 0.009973035070767544
120934216389271 14000 0.009972037767260468
120934217238327 14000 0.009971040563483743
120934218345127 14000 0.009970043459427395
120934219547950 14000 0.009969046455081452
120934220789703 14000 0.009968049550435945
120934221823082 14000 0.009967052745480902
120934223206705 14000 0.009966056040206353
120934224127655 14000 0.009965059434602333
120934224999066 14000 0.009964062928658873
120934226222062 14000 0.009963066522366008
120934227357813 14000 0.009962070215713771
120934228509517 14000 0.0099610740086922
120934230741049 14000 0.009960077901291331
120934249443198 14000 0.009959081893501202
120934249986125 14000 0.009959081893501202
120934250553628 14000 0.009958085985311851
120934251015076 14000 0.009958085985311851
120934251478052 14000 0.009957090176713321
120934252227489 14000 0.009957090176713321
120934252576596 14000 0.009957090176713321
120934252919429 14000 0.009957090176713321
